label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31
maaf,0.576426,0.992492,0.572395,0.979851,0.572948,0.903169,0.576473,0.851122,0.585106,0.834012,0.590714,0.838931,0.593632,0.838638,0.605325,0.832218,0.612796,0.833564,0.614388,0.834521,0.614374,0.835570,0.613684,0.836521,0.611299,0.847773,0.611158,0.851662,0.616288,0.852367,0.613950,0.857061,0.616371,0.856424,0.616320,0.856669,0.616389,0.858965,0.618401,0.859267,0.614245,0.862673,0.614956,0.864675,0.616973,0.865768,0.616630,0.869295,0.613510,0.878611,0.615400,0.884516,0.614167,0.889004,0.611939,0.892352,0.616493,0.894811,0.614226,0.890911,0.616899,0.885966,0.615510,0.885928
maaf,0.677658,0.981684,0.683579,0.985362,0.680410,0.981372,0.680624,0.978673,0.691194,0.979674,0.692425,0.981621,0.695590,0.983251,0.696240,0.983682,0.698765,0.985641,0.696152,0.988434,0.695580,0.988035,0.695879,0.991700,0.701856,0.993426,0.699508,0.993550,0.699692,0.990970,0.700892,0.991686,0.700910,0.994864,0.701889,0.996974,0.705388,0.999316,0.708157,0.997676,0.708209,1.001177,0.705595,1.006530,0.702903,1.011222,0.707189,1.004230,0.708456,1.001977,0.707664,1.005589,0.707617,1.002439,0.706350,1.006158,0.710621,1.002394,0.714200,0.994602,0.715142,0.991501,0.715437,0.994782
maaf,0.339737,0.916494,0.329536,0.933799,0.349532,0.866910,0.364994,0.821030,0.368365,0.810857,0.376813,0.778577,0.381311,0.771387,0.384403,0.763808,0.392947,0.753677,0.399651,0.749235,0.401586,0.746659,0.403957,0.748909,0.406599,0.744867,0.408371,0.745276,0.407935,0.745468,0.407980,0.745206,0.407736,0.747209,0.404189,0.748424,0.405259,0.745232,0.406780,0.744857,0.405165,0.747302,0.404192,0.746823,0.404056,0.748503,0.403406,0.748247,0.403567,0.747317,0.402057,0.749227,0.401325,0.750071,0.401484,0.750358,0.399566,0.752216,0.401453,0.751278,0.401815,0.750555,0.397917,0.759376
maaf,0.594297,0.858932,0.598404,0.847465,0.595708,0.808506,0.598435,0.797770,0.601589,0.791588,0.601753,0.791689,0.600194,0.793460,0.600997,0.792805,0.601692,0.795210,0.598356,0.795929,0.598178,0.796075,0.599023,0.793996,0.602103,0.789230,0.603759,0.792053,0.599778,0.792043,0.596762,0.795581,0.595153,0.793232,0.595743,0.786811,0.597025,0.805078,0.595267,0.802652,0.592040,0.802890,0.589000,0.799690,0.590454,0.798326,0.588461,0.806352,0.585313,0.817919,0.586716,0.820701,0.584977,0.820498,0.584262,0.827014,0.584234,0.831237,0.585802,0.840433,0.582680,0.838413,0.584080,0.836982
maaf,0.447346,1.010767,0.440067,1.020818,0.437958,0.974833,0.432796,0.941297,0.427780,0.945436,0.437796,0.909912,0.444416,0.882766,0.449582,0.864992,0.450607,0.862632,0.456314,0.848501,0.461233,0.839188,0.463419,0.835405,0.466455,0.831188,0.471599,0.822615,0.474713,0.816163,0.477243,0.811989,0.480441,0.807517,0.485754,0.801737,0.485886,0.800290,0.490914,0.802421,0.493555,0.803561,0.497348,0.804560,0.497311,0.803986,0.501015,0.805443,0.502274,0.806073,0.503013,0.805899,0.503128,0.805505,0.501760,0.807270,0.501666,0.807759,0.501591,0.807689,0.499886,0.809442,0.500510,0.809393
maaf,0.666799,0.957783,0.665292,0.966595,0.667657,0.945929,0.677210,0.939799,0.687864,0.935870,0.686665,0.937050,0.692706,0.941960,0.695967,0.944908,0.696992,0.954519,0.698087,0.960275,0.698999,0.959400,0.698894,0.956673,0.702222,0.937789,0.705222,0.919480,0.704537,0.915270,0.705506,0.915291,0.700425,0.917253,0.699758,0.918395,0.694511,0.927585,0.692674,0.928657,0.688971,0.925917,0.688578,0.923681,0.683637,0.913826,0.680238,0.913389,0.676966,0.918413,0.674876,0.922822,0.674171,0.935477,0.675085,0.938209,0.673450,0.948196,0.674820,0.946422,0.675533,0.941558,0.673549,0.941304
maaf,0.651695,1.005593,0.649925,1.014311,0.661529,1.000966,0.671432,1.002898,0.679793,1.001166,0.684818,0.988375,0.686003,0.980963,0.690285,0.974889,0.693877,0.971418,0.692145,0.981912,0.691910,0.994064,0.692264,0.995237,0.690950,1.004046,0.691300,0.998447,0.689638,1.005105,0.693350,1.002986,0.693981,0.999955,0.698382,1.005113,0.698359,1.013494,0.701464,1.024006,0.702830,1.029258,0.700438,1.027164,0.701982,1.021836,0.699660,1.020521,0.700547,1.011429,0.700723,1.001466,0.699944,0.999022,0.695780,1.001173,0.697371,1.000614,0.695121,1.003166,0.690867,1.001413,0.685165,0.993997
maaf,0.412958,1.054680,0.401541,1.040581,0.413069,1.017858,0.406047,0.988875,0.402591,0.962058,0.401969,0.932613,0.405713,0.921459,0.413890,0.896197,0.417657,0.888201,0.421518,0.875856,0.428526,0.864411,0.431835,0.858587,0.436573,0.851644,0.443224,0.843802,0.449698,0.836592,0.453833,0.829456,0.458122,0.825719,0.464779,0.818067,0.469489,0.814256,0.477677,0.810030,0.484198,0.808511,0.489923,0.808970,0.496811,0.810446,0.502135,0.813634,0.504363,0.810521,0.505668,0.811500,0.508985,0.810469,0.508939,0.808822,0.508149,0.808694,0.508093,0.810937,0.506822,0.813326,0.506714,0.813366
maaf,0.310372,0.907619,0.306003,0.914441,0.321153,0.865934,0.327031,0.841736,0.330479,0.830626,0.343554,0.807447,0.356562,0.789307,0.365657,0.774155,0.367397,0.775051,0.372927,0.764221,0.385257,0.753819,0.386238,0.752619,0.390985,0.750001,0.393996,0.747204,0.397438,0.750200,0.398453,0.750272,0.401116,0.751022,0.404237,0.753767,0.403114,0.753585,0.403561,0.758848,0.401590,0.760761,0.399617,0.760594,0.399409,0.761202,0.398952,0.761434,0.399297,0.760991,0.398518,0.761169,0.398548,0.761288,0.401445,0.762432,0.400551,0.761426,0.400386,0.761863,0.401441,0.762415,0.402279,0.760509
maaf,0.710053,0.892241,0.697056,0.897878,0.684827,0.868886,0.676285,0.868299,0.689550,0.850785,0.693065,0.849991,0.691296,0.853752,0.689752,0.859891,0.689563,0.860469,0.691852,0.863220,0.692274,0.865454,0.694869,0.867471,0.691882,0.873628,0.692033,0.873258,0.692538,0.872248,0.694096,0.874564,0.694108,0.874200,0.694535,0.877937,0.694052,0.881330,0.694243,0.883928,0.694769,0.891750,0.694995,0.894255,0.694110,0.899185,0.695815,0.900988,0.695771,0.901567,0.697033,0.901964,0.697961,0.904387,0.697171,0.905661,0.696603,0.914305,0.694374,0.918386,0.695518,0.917286,0.694368,0.919331
maaf,0.652237,0.763192,0.649993,0.767083,0.646168,0.773717,0.643700,0.777997,0.654310,0.739707,0.632118,0.766738,0.609129,0.795021,0.586139,0.823305,0.563149,0.851588,0.540160,0.879872,0.517170,0.908155,0.494180,0.936439,0.471191,0.964722,0.448201,0.993006,0.436169,0.975311,0.443936,0.930024,0.450944,0.882613,0.456270,0.868304,0.462784,0.848513,0.466583,0.843217,0.470039,0.835616,0.475113,0.832017,0.477423,0.830723,0.480352,0.827133,0.484549,0.826038,0.490311,0.823003,0.495001,0.821135,0.499146,0.821002,0.502560,0.822293,0.503031,0.823082,0.504357,0.823101,0.503368,0.823618
maaf,0.587186,0.784314,0.593461,0.769237,0.590186,0.748782,0.591201,0.742172,0.588906,0.739836,0.590480,0.741914,0.591111,0.745263,0.590310,0.749962,0.590961,0.751523,0.590439,0.752816,0.590556,0.754837,0.587944,0.756586,0.590033,0.757656,0.589802,0.766577,0.592948,0.770237,0.592572,0.774407,0.592122,0.775448,0.592371,0.776763,0.592561,0.781552,0.590759,0.784674,0.593316,0.788927,0.593193,0.791101,0.594833,0.795268,0.590924,0.798761,0.590256,0.804012,0.591135,0.807295,0.591745,0.807304,0.591440,0.810590,0.595828,0.811248,0.593849,0.813421,0.595495,0.813735,0.595235,0.813245
maaf,0.706149,0.881869,0.702563,0.879198,0.685097,0.866217,0.688520,0.854449,0.694286,0.850382,0.697597,0.854481,0.697373,0.854610,0.699488,0.854899,0.699160,0.853713,0.699432,0.853450,0.701113,0.853668,0.700981,0.852770,0.700745,0.855865,0.701480,0.856218,0.701054,0.858519,0.701135,0.859384,0.700540,0.859816,0.698913,0.858088,0.697783,0.858425,0.698584,0.857781,0.698245,0.859213,0.696721,0.859111,0.696864,0.857864,0.695153,0.859121,0.696153,0.858127,0.695676,0.858814,0.694849,0.860323,0.693976,0.860930,0.695971,0.858360,0.695337,0.860854,0.695933,0.863024,0.697407,0.862705
maaf,0.359596,0.969421,0.403831,0.999726,0.420717,1.017267,0.411301,0.992887,0.409503,0.978168,0.405405,0.953176,0.404766,0.940273,0.414969,0.911068,0.418534,0.899084,0.423768,0.884243,0.424992,0.876766,0.427806,0.870375,0.435424,0.855950,0.439373,0.851638,0.445727,0.842127,0.450231,0.838329,0.457963,0.831993,0.460398,0.827623,0.465069,0.825871,0.468654,0.823641,0.471083,0.822732,0.478966,0.822165,0.483787,0.820367,0.490137,0.819476,0.497287,0.821109,0.503365,0.825160,0.507385,0.823323,0.509556,0.823693,0.509930,0.825289,0.509569,0.827738,0.507874,0.826305,0.509180,0.825803
maaf,0.596394,0.970092,0.603367,0.949896,0.606872,0.885236,0.613438,0.845431,0.615553,0.816438,0.617146,0.794196,0.619267,0.782271,0.618826,0.779877,0.618451,0.777182,0.618234,0.776061,0.618503,0.776415,0.618995,0.780249,0.619305,0.779427,0.617993,0.783391,0.619192,0.784066,0.618821,0.785167,0.619316,0.788879,0.618819,0.789999,0.620393,0.789273,0.621018,0.790705,0.620837,0.791526,0.621415,0.791363,0.621239,0.791833,0.623551,0.792106,0.623632,0.792035,0.622661,0.792273,0.623430,0.791286,0.622869,0.791000,0.622367,0.790882,0.621988,0.791724,0.621452,0.792253,0.620779,0.792153
maaf,0.279370,1.026509,0.278737,1.093614,0.308174,1.053224,0.329591,1.033864,0.322811,1.000740,0.320416,1.006580,0.320885,0.973378,0.323762,0.944382,0.324224,0.944119,0.334393,0.916315,0.345271,0.887424,0.362365,0.867230,0.360649,0.861336,0.372366,0.842333,0.381472,0.830318,0.391566,0.823817,0.390227,0.821872,0.403368,0.813953,0.411916,0.810253,0.410934,0.808888,0.419190,0.803395,0.424139,0.799699,0.428048,0.797199,0.427318,0.795742,0.436570,0.795414,0.445492,0.797045,0.444233,0.799490,0.451825,0.799507,0.459544,0.801603,0.465866,0.804660,0.470052,0.807249,0.470865,0.811272
maaf,0.313488,0.935538,0.303078,0.938924,0.318370,0.889037,0.329345,0.841402,0.339856,0.812985,0.339387,0.814244,0.344352,0.797468,0.352281,0.784929,0.356749,0.778750,0.359704,0.775205,0.365425,0.767115,0.369854,0.763060,0.371532,0.761498,0.373674,0.757092,0.376232,0.751095,0.378176,0.749374,0.382229,0.745352,0.384967,0.746750,0.386240,0.749659,0.388306,0.750124,0.392861,0.748803,0.393990,0.752917,0.393646,0.754580,0.393550,0.754527,0.394462,0.754306,0.394273,0.754221,0.394815,0.753861,0.396133,0.753165,0.394549,0.755940,0.395890,0.754352,0.395474,0.754757,0.396128,0.755809
maaf,0.294578,0.931578,0.291679,0.937940,0.287577,0.912625,0.291193,0.880106,0.292108,0.876572,0.303577,0.852839,0.312944,0.833356,0.319292,0.820317,0.318634,0.819518,0.322373,0.807262,0.327586,0.797043,0.327730,0.797648,0.335346,0.786492,0.340176,0.778412,0.346627,0.768297,0.350854,0.765010,0.351789,0.763647,0.359505,0.760763,0.366095,0.755818,0.365924,0.755510,0.377539,0.755656,0.383580,0.753857,0.385166,0.753988,0.388297,0.756862,0.391284,0.757634,0.391628,0.757675,0.391352,0.757244,0.394011,0.757929,0.395135,0.756995,0.394801,0.756620,0.394619,0.756173,0.393823,0.757133
